English,SPANISH,FRENCH,GERMAN,ARABIC,JAPANESE,CHINESE,TAMIL,HINDI
,,,setzen,???,??,?,????,????
,,,lachen,????,??,?,????????,?????
,,,Unternehmen,????,??,??,????????,?????
,,,seltsam,????,??,???,??????????,????
,,,Beispiel,????,?,??,????????,??????
,,,musste,??? ??? ??,???????????,??,????? ???????????????,???? ????
,,,Leben,???????,??,??,????????,??????????
,,,kämpfen,?????,??,??,?????,????? ????
,,,Rettung,????,??,??,??????,????
,,,werde haben,??? ???? ???,??????,??,?????????,????
,,,Bullshit,????,????,??,????????,?????
,,,besuchen,????,??,??,?????,????? ????
,,,Theaterstücke,????,??,??,?????????,??????
,,,Michael,???????,????,???,????????,?????
,,,Mai,????,5?,??,??,??
,,,schlafen,?????,????,??,?????,???? ?? ???
,,,konzipiert,?????? ????,?????,??,???????????????????,??????
,,,Bob,???,??,??,????,?????
,,,wunderbar,????,?????,???,????????,??????????
,,,weitermachen,????,??,??,????????,???? ????
,,,Hören,?????,??,?,?????????,?????
,,,werde sagen,??? ????,?????,??,????????,?? ??????
,,,gestohlen,?????,????,??,?????????????,?????? ???
,,,Mond,???,?,??,????,???????
,,,Mund,??,?,?,????,????
,,,Süd,????,?,?,??????,??????
,,,tanzen,?????,???,??,?????,?????
,,,Probleme,?????,????,??,?????????,?????????
,,,Ziel,???,??,??,????????,????????
,,,Autsch,????,??,??,??,???
,,,aus,????,?,??,??????,????
,,,Ausfahrt,????,??,??,????????,???? ??????
